0|1|2|3|4|5|6|7|8
000030|20170424|15:58|14,750|350|14,750|14,700|2,107,075|1
000030|20170424|15:45|14,750|350|0|0|2,107,074|80
000030|20170424|15:44|14,750|350|14,750|14,700|2,106,994|1
000030|20170424|15:42|14,750|350|14,750|14,700|2,106,993|2
000030|20170424|15:40|14,750|350|14,750|14,700|2,106,991|1,084
000030|20170424|15:30|14,750|350|14,750|14,700|2,105,907|111,456
000030|20170424|15:19|14,750|350|14,750|14,700|1,994,451|9,919
000030|20170424|15:18|14,750|350|14,750|14,700|1,984,532|2,697
000030|20170424|15:17|14,750|350|14,750|14,700|1,981,835|5,181
000030|20170424|15:16|14,750|350|14,750|14,700|1,976,654|3,306
000030|20170424|15:15|14,750|350|14,750|14,700|1,973,348|2,274
000030|20170424|15:14|14,750|350|14,750|14,700|1,971,074|3,144
000030|20170424|15:13|14,700|300|14,750|14,700|1,967,930|3,673
000030|20170424|15:12|14,700|300|14,750|14,700|1,964,257|2,981
000030|20170424|15:11|14,750|350|14,750|14,700|1,961,276|2,975
000030|20170424|15:10|14,750|350|14,750|14,700|1,958,301|3,284
000030|20170424|15:09|14,750|350|14,750|14,700|1,955,017|4,177
000030|20170424|15:08|14,750|350|14,750|14,700|1,950,840|13,433
000030|20170424|15:07|14,700|300|14,700|14,650|1,937,407|35,719
000030|20170424|15:06|14,700|300|14,750|14,700|1,901,688|8,585
000030|20170424|15:05|14,750|350|14,750|14,700|1,893,103|5,440
000030|20170424|15:04|14,750|350|14,750|14,700|1,887,663|4,800
000030|20170424|15:03|14,750|350|14,750|14,700|1,882,863|7,559
000030|20170424|15:02|14,700|300|14,750|14,700|1,875,304|15,715
000030|20170424|15:01|14,700|300|14,750|14,700|1,859,589|4,091
000030|20170424|15:00|14,700|300|14,750|14,700|1,855,498|8,594
000030|20170424|14:59|14,700|300|14,750|14,700|1,846,904|7,619
000030|20170424|14:58|14,700|300|14,750|14,700|1,839,285|4,442
000030|20170424|14:57|14,700|300|14,750|14,700|1,834,843|32,212
000030|20170424|14:56|14,700|300|14,700|14,650|1,802,631|7,501
000030|20170424|14:55|14,700|300|14,700|14,650|1,795,130|6,995
000030|20170424|14:54|14,700|300|14,700|14,650|1,788,135|9,565
