입수일시|종목코드|매수구분|거래기관|거래량|_
2017.12.28 기준(장마감)|005930|매도|미래에셋대우|19,666|
2017.12.28 기준(장마감)|005930|매수|한국증권|25,062|
2017.12.28 기준(장마감)|005930|매도|UBS|18,995|
2017.12.28 기준(장마감)|005930|매수|CLSA|13,348|
2017.12.28 기준(장마감)|005930|매도|한국증권|16,919|
2017.12.28 기준(장마감)|005930|매수|삼성|13,322|
2017.12.28 기준(장마감)|005930|매도|골드만|9,910|
2017.12.28 기준(장마감)|005930|매수|미래에셋대우|12,411|
2017.12.28 기준(장마감)|005930|매도|키움증권|9,822|
2017.12.28 기준(장마감)|005930|매수|제이피모간|12,109|
2017.12.28 기준(장마감)|005930|매도|외국추정|33,249|
2017.12.28 기준(장마감)|005930|매수|외국추정|40,241|
2017.12.28 기준(장마감)|000660|매도|키움증권|409,606|
2017.12.28 기준(장마감)|000660|매수|미래에셋대우|298,841|
2017.12.28 기준(장마감)|000660|매도|제이피모간|324,935|
2017.12.28 기준(장마감)|000660|매수|한국증권|280,047|
2017.12.28 기준(장마감)|000660|매도|미래에셋대우|319,772|
2017.12.28 기준(장마감)|000660|매수|HI증권|211,769|
2017.12.28 기준(장마감)|000660|매도|HI증권|175,009|
2017.12.28 기준(장마감)|000660|매수|신한금융투자|179,389|
2017.12.28 기준(장마감)|000660|매도|모건스탠리|153,943|
2017.12.28 기준(장마감)|000660|매수|모건스탠리|169,308|
2017.12.28 기준(장마감)|000660|매도|외국추정|549,046|
2017.12.28 기준(장마감)|000660|매수|외국추정|178,797|
2017.12.28 기준(장마감)|005935|매도|한국증권|8,982|
2017.12.28 기준(장마감)|005935|매수|씨티그룹|8,401|
2017.12.28 기준(장마감)|005935|매도|신한금융투자|3,979|
2017.12.28 기준(장마감)|005935|매수|도이치증권|3,972|
2017.12.28 기준(장마감)|005935|매도|미래에셋대우|3,567|
2017.12.28 기준(장마감)|005935|매수|삼성|3,151|
2017.12.28 기준(장마감)|005935|매도|NH투자증권|2,625|
2017.12.28 기준(장마감)|005935|매수|제이피모간|2,588|
2017.12.28 기준(장마감)|005935|매도|유진증권|2,272|
2017.12.28 기준(장마감)|005935|매수|골드만|2,320|
2017.12.28 기준(장마감)|005935|매도|외국추정|1,041|
2017.12.28 기준(장마감)|005935|매수|외국추정|18,097|
2017.12.28 기준(장마감)|005380|매도|메리츠|43,771|
2017.12.28 기준(장마감)|005380|매수|메리츠|42,869|
2017.12.28 기준(장마감)|005380|매도|미래에셋대우|26,375|
2017.12.28 기준(장마감)|005380|매수|모건스탠리|36,690|
2017.12.28 기준(장마감)|005380|매도|CLSA|25,225|
2017.12.28 기준(장마감)|005380|매수|미래에셋대우|33,082|
2017.12.28 기준(장마감)|005380|매도|모건스탠리|22,622|
2017.12.28 기준(장마감)|005380|매수|CLSA|32,604|
2017.12.28 기준(장마감)|005380|매도|CS증권|19,769|
2017.12.28 기준(장마감)|005380|매수|키움증권|22,310|
2017.12.28 기준(장마감)|005380|매도|외국추정|93,712|
2017.12.28 기준(장마감)|005380|매수|외국추정|75,224|
2017.12.28 기준(장마감)|005490|매도|골드만|21,132|
2017.12.28 기준(장마감)|005490|매수|미래에셋대우|33,270|
2017.12.28 기준(장마감)|005490|매도|한국증권|14,974|
2017.12.28 기준(장마감)|005490|매수|한국증권|13,208|
